Index,Are you self-employed?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?
1050,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
1051,0,,,I don't know,No,,No,Maybe,"Yes, I think it would","Yes, I think they would"
1052,0,,,I don't know,Maybe,,Yes,No,Maybe,Maybe
1053,0,,,I don't know,Maybe,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
1054,0,,,Yes,Maybe,,Maybe,No,Maybe,Maybe
1055,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,Maybe,Maybe
1056,0,,,No,No,,Yes,No,"Yes, I think it would",Maybe
1057,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1058,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1059,1,"No, because it would impact me negatively",I'm not sure,,,No,,No,"Yes, I think it would","Yes, I think they would"
1060,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1061,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
1062,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1063,0,,,I don't know,Maybe,,No,No,"Yes, it has",Maybe
1064,0,,,Yes,No,,Maybe,No,Maybe,Maybe
1065,0,,,Yes,Maybe,,Yes,No,"Yes, I think it would","Yes, I think they would"
1066,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, they do"
1067,1,"Yes, always",No,,,Yes,,No,Maybe,Maybe
1068,0,,,No,Yes,,Maybe,No,"Yes, it has","Yes, they do"
1069,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1070,0,,,I don't know,Maybe,,Maybe,Yes,"Yes, I think it would",Maybe
